# ---------------------------------------------------------------------------------------
# REGIONAL EXTRACT, made on 2026-09-01 by pipeline/samudra/sources/glider.py's own scan.
#
# The complete EGO index is 248,440,873 bytes and 824,641 lines, of which 817,816 carry a
# readable position and date. Every one was scanned against DEMO_REGION (45-100 E, 10 S-25 N)
# and 2,876 matched, from ONE glider (WMO 2801950) in TWO deployments. The rows below are
# exactly those 2,876, unedited, with the archive's own header kept.
#
# It is committed so the finding is reproducible in every bake without downloading 248 MB.
# Re-derive it any time from ftp://ftp.ifremer.fr/ifremer/glider/v2/glider_prof_index.txt.
# ---------------------------------------------------------------------------------------
# Title : Profile directory file of the Gliders.
# Description : The directory file describes all individual profile files of the glider GDAC.
# Project : Glider
# Format version : 1.0
# Date of update : 20260901063748
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/glider/v2
# FTP root number 2 : N/A
# GDAC node : EGO GDAC
file,wmo,date,latitude,longitude,pressure_max,n_levels,parameter,ocean,date_update,gdac_date_creation,gdac_date_update
/sea057/sea057_20220128/profiles/R2801950_20220128_021D.nc,2801950,20211122011716,24.275,57.653,810,176,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012606,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_022.nc,2801950,20211122034921,24.287,57.666,803.7,128,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012607,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_023D.nc,2801950,20211122063325,24.296,57.664,809.9,168,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012608,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_024.nc,2801950,20211122090330,24.306,57.68,804.3,132,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012608,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_025D.nc,2801950,20211122114835,24.319,57.686,807.6,172,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012609,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_026.nc,2801950,20211122142010,24.333,57.696,801.7,129,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012609,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_027D.nc,2801950,20211122170344,24.342,57.707,809.4,172,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012610,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_028.nc,2801950,20211122193449,24.357,57.716,802.9,130,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094809,20220327012610,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_029D.nc,2801950,20211122221423,24.366,57.725,808.8,169,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094810,20220327012610,20241011125642
/sea057/sea057_20220128/profiles/R2801950_20220128_030.nc,2801950,20211123004528,24.382,57.731,802.3,133,MTIME/TEMP/CNDC/PRES/PSAL/TEMP_CNDC/CHLA/FLUORESCENCE_CHLA/BBP700/BETA_BACKSCATTERING700/MOLAR_DOXY/TEMP_DOXY/DOXY/DOWN_IRRADIANCE380/DOWN_IRRADIANCE490/DOWN_IRRADIANCE532/DOWNWELLING_PAR/TECH_heading/TECH_heading_C/TECH_pitch/TECH_roll/TECH_ballast_pumped/TECH_ballast_pumped_C/TECH_battery_position/TECH_battery_position_C/TECH_battery_rotation/TECH_battery_rotation_C,I,20241009094810,20220327012612,20241011125642
